n,Multiplicand,Multiplier,Product,Result(Part 1),Result(Part 2),PrimitiveOperations(Part 1),PrimitiveOperations(Part 2)
1,5,1,5,5,5,57,5
2,97,18,1746,1746,1746,131,103
3,486,298,144828,144828,144828,233,299
4,6175,3433,21198775,21198775,21198775,363,446
5,15102,86438,1305386676,1305386676,1305386676,521,544
6,858121,924914,793688126594,793688126594,793688126594,707,740
7,2143333,4826865,10345579041045,10345579041045,10345579041045,921,1279
8,66831813,58797380,3929535505049940,3929535505049940,3929535505049940,1163,1475
9,224610703,765486847,171936538841923441,171936538841923441,171936538841923441,1433,1769
10,8746593927,9913603445,86710263686723278515,86710263686723278515,86710263686723278515,1731,1965
11,70811979636,86559526619,6129451436246427930684,6490809850744119853248,6129451436246427930684,2057,2210
12,305208856352,752696444270,229729620935863603503040,22110762893366985074464,229729620935863603503040,2411,2700
13,3732111254406,8974104761681,33492357379288134591216486,6947974542662817986699988,33492357379288134591216486,2793,2945
14,67581003629503,43273162867921,2924443776837043549607873263,876986934279840349569214702,2924443776837043549607873263,3203,3337
15,290964339716918,217447779935263,63269549711773489081785879434,105486205245476273590151437616,63269549711773489081785879434,3641,4170
16,5128341619894792,2331592093663211,11957200774550681093151700897112,5762532360278738298136136262944,11957200774550681093151700897112,4107,4219
17,60784167997660567,99699771497531670,6060167660034335679066774992656890,462785090395067635427310596769333,6060167660034335679066774992656890,4601,4856
18,888454403679434308,554620565256018370,492755083572886583032674794056237960,65577399309850487404778539454618140,492755083572886583032674794056237960,5123,5297
19,6107942300389214665,3320972729516298275,20284309813051628061682354145144202875,34991950424028594779058651594152366945,20284309813051628061682354145144202875,5673,5689
20,60814532105765370442,71335906826903777171,4338259796018626829050123736379837779582,1044655671145107335687204715709773656114,4338259796018626829050123736379837779582,6251,5787
21,811400246901095641371,457741157527881009876,371411288234915965196604712904785405179996,550859780753274908809101621193130016130734,371411288234915965196604712904785405179996,6857,6179
22,3263607537799209836510,9501603398510879591588,31009504472558696110312819054605341051277880,28889322662822130324644550035227997237464090,31009504472558696110312819054605341051277880,7491,6473
23,23311648717665813119840,65748241188069280012125,1532699902380637828691188696204560499278060000,1215026636208951696628006529897527862513159040,1532699902380637828691188696204560499278060000,8153,7110
24,982210666973030336897466,265017447946865523407691,260302964307381135018151985959489052544782811006,193205086813263570650143175667118177395241235892,260302964307381135018151985959489052544782811006,8843,9364
25,6118879284737256246608252,2075694136269710876709998,12700921851871325388183249432124338136328117703496,55064264492001162827399598090669613140605210172904,12700921851871325388183249432124338136328117703496,9561,8874
26,58060973633206365186212824,22023852452295823972445540,1278726316534375182392611604683851209178082189604960,264434520124078057118493607566276512216813366250128,1278726316534375182392611604683851209178082189604960,10307,9070
27,944803704947271067575021744,753207380913359988972932126,711633124080572980490210001461364926873634641886147744,586949173298802604138269690239365607643903930299050608,711633124080572980490210001461364926873634641886147744,11081,9217
28,9357701443835112330768103656,1135464236164247247381299517,10625335322177309436595713473957792196271257195038734152,67000410915841161753726314700448356837556141976282357016,10625335322177309436595713473957792196271257195038734152,11883,10638
29,41525461095845951521014485357,33930923560077727904896806477,1408997246240130501685862187690886545938712093806979257289,3216598337031702029199968660288611347555889252538716209081,1408997246240130501685862187690886545938712093806979257289,12713,11520
30,354762200184804395778113702558,115141856054983892322667093890,40847978187428127741964328985802382756990529406377719170620,34905324703246074000014570900786260412454594986031326685138,40847978187428127741964328985802382756990529406377719170620,13571,11079
31,3303765282250010168455857768532,9117616648595883134322430270080,30122465340495769621535177806435636397205063256153838885122560,2645392067465072753168120715321684813154825180968286331299308,30122465340495769621535177806435636397205063256153838885122560,14457,12696
32,93814438270808667471197210257439,95221526563474386570806634368101,8933154025841235626762678798961479645819655299508193343299553339,955626108572074803848324296116209234340089444315752813983444701,8933154025841235626762678798961479645819655299508193343299553339,15371,13235
33,734074642513502991388897467786757,858053269374312053694082351943545,629875146973490605406500961846557735411537268631537326468562633565,400326984739421905426199765058666967798891374649882175673959987506,629875146973490605406500961846557735411537268631537326468562633565,16313,13823
34,3499783680319556147785351455925522,9456712991337803839333859982499751,33096449796549978018165581524513992059403167911029803743710839545022,5529458375798530439541982816081085035424702146834358054092018983578,33096449796549978018165581524513992059403167911029803743710839545022,17283,15734
35,21811469813744777014277282429746786,32574624426658077088852389418241820,710500437376125912417821046271232141186615517946745189243071915790520,61383615948115530001429495115711580912575415811142193881168340111078,710500437376125912417821046271232141186615517946745189243071915790520,18281,14852
36,551887872968595481210202022234006994,203155115751338596426510287148805806,112118844714695066234775667118379136475117743426589095512308609351807164,335828650373660205410648118807719951809747484696542915551939284457806188,112118844714695066234775667118379136475117743426589095512308609351807164,19307,14558
37,6654641576649891579450733226893910970,8320689610575727548836370839234035638,55371207028936031956071449761665331324482608905458419282294119042179148860,55668101991626387547331177184785580515267225702648907124434685218115010860,55371207028936031956071449761665331324482608905458419282294119042179148860,20361,16518
38,76602411901086360094143759016775101605,52546244263797362684413730982615068532,4025169046950501977350470190879450843508654564730645608735596051228338193860,1806748441997572527142717048166855004282712791455183962332660113505372062625,4025169046950501977350470190879450843508654564730645608735596051228338193860,21443,16420
39,204777500877342541260988710287061705357,981784364757843235878098094187654004477,201047348615560432781978901865616928657918511104604918895026022770237732883289,158579790217986215613222334480519547697490131109151397618166784804134462171473,201047348615560432781978901865616928657918511104604918895026022770237732883289,22553,17890
