n,Multiplicand,Multiplier,Product,Result(Part 1),Result(Part 2),PrimitiveOperations(Part 1),PrimitiveOperations(Part 2)
1,9,1,9,9,9,55,5
2,76,68,5168,5168,5168,124,107
3,821,738,605898,605898,605898,217,260
4,3270,2847,9309690,9309690,9309690,334,515
5,13022,83614,1088821508,1088821508,1088821508,475,617
6,399095,272887,108907837265,108907837265,108907837265,640,1025
7,1377889,7944126,10946123830014,10946123830014,10946123830014,829,1433
8,88164660,37714571,3325092329260860,3325092329260860,3325092329260860,1042,1229
9,200076586,287444655,57510945236347830,57510945236347830,57510945236347830,1279,1892
10,9585876816,2962606287,28399178921489142192,28399178921489142192,28399178921489142192,1540,2198
11,13278909561,69836772171,927356181690870626931,227438027757145009656,927356181690870626931,1825,2147
12,808978996450,786619209058,636358418332033589844100,688362587617827218761150,636358418332033589844100,2134,3320
13,7232703140813,8072381617222,58385139876722683731881486,16108400382525988873111604,58385139876722683731881486,2467,3065
14,88069918367200,84940576771716,7480709662347912629862115200,5435478745966599182080905600,7480709662347912629862115200,2824,3371
15,445676263866703,312073132065663,139083587552204876238075319089,163367194399190751563276717739,139083587552204876238075319089,3205,3932
16,5954362506422268,3026355723045973,18020019048401394923947514926764,22599206960605031539158839368404,18020019048401394923947514926764,3610,4187
17,10826686874770051,70711025121677286,765566127586398820806116679761586,739220327326825284386502684987057,765566127586398820806116679761586,4039,5156
18,810293277171024056,728052670196561653,589936184086686696580553172150124568,288598665038057840579693500706894312,589936184086686696580553172150124568,4492,5105
19,9564025347371533487,2184100563198726376,20888793147641060956385339156434153112,64425942277113119143086401664704009444,20888793147641060956385339156434153112,4969,5309
20,89242812562636192101,29281497434240863460,2613163187077269955894930588784671529460,574438514603214981353135070777445311492,2613163187077269955894930588784671529460,5470,6278
21,959885233206785857705,913065658673666755135,876438242709080149586928374112935188065175,510234354553003833170788392914320483407895,876438242709080149586928374112935188065175,5995,7094
22,5217463101552093957908,8133768409924421776019,42437636555350717209282252980389672389808252,47514242941405936442467492002329271134698744,42437636555350717209282252980389672389808252,6544,6482
23,99164481691056486591235,77993430249017882798225,7734178085951424992489658617204303473558557875,5185283861267928904700358910237998911656801595,7734178085951424992489658617204303473558557875,7117,7043
24,332352797225300020148416,852051555148917145674022,283181717733909597428557881447215757172795649152,73275995363149900542751384759702234654340691328,283181717733909597428557881447215757172795649152,7714,8879
25,4600859850723942142836752,2030994063355999776778414,9344319043153297823903431850731646415741679471328,19087940516697208094786966727819183854149729179104,9344319043153297823903431850731646415741679471328,8335,8828
26,69554116667166155281523758,25655503249155987127498865,1784445866146655895312603461244856353247180615534670,3956896985068552767943345414197544651764005579180216,1784445866146655895312603461244856353247180615534670,8980,9899
27,151425021486988812344502234,792497145079011954208572617,120003897221966675293720861541422860706119972507726378,108462078777981032706289327028527061049961489684959498,120003897221966675293720861541422860706119972507726378,9649,9542
28,6179650323527827362842372212,8994253696530693037166006148,55581342765657254415911814536583023404785148386096359376,52007978015434754587564345610902884646171069431882555576,55581342765657254415911814536583023404785148386096359376,10342,12092
29,45851857343473389934570109797,60095178156210883964981411753,2755475535849199673441601661214879982446445602065276244141,1637434887088050628441486665377956980518217039991917381782,2755475535849199673441601661214879982446445602065276244141,11059,11837
30,565822234496254315605895698348,144081751241345918091668041530,81524658437511811394981659593114310110452117453012816392440,19883483430223390692878266748132114114643491997482341611468,81524658437511811394981659593114310110452117453012816392440,11800,11786
31,3924116655135773208759237553552,8042144034371813126705397415388,31558311348279232053902896371076573162608463056197089038858176,34670151162621003225781975021243443593729556419415088793273216,31558311348279232053902896371076573162608463056197089038858176,12565,12551
32,76447222274776760592610217210137,11783433263511283157815303397525,900810741855645183877207089145580681334754220261961922970710925,4019543754468714875354952181639358812330132276194771396397413407,900810741855645183877207089145580681334754220261961922970710925,13354,13163
33,570533952665386502847549008142764,392691704733245545641342511369218,224043950480367447050848079171012522276670831872586059928859038552,463823059510838523739103985637914264975634491535402451028315573852,224043950480367447050848079171012522276670831872586059928859038552,14167,13469
34,8088320328329004676955338212394466,3236833236781655724958056085777546,26180544068472036571101472388737987628107463412988839977320077460436,52232559331574696228801916634148339364940669793099162705855385288518,26180544068472036571101472388737987628107463412988839977320077460436,15004,14591
